#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
1,"'Twas brillig, and the slithy toves",,30,700,,,,,,
2,"Did gyre and gimble in the wabe;",,30,700,,,,,,
3,"All mimsy were the borogoves,",,30,700,,,,,,
4,"And the mome raths outgrabe.",,30,700,,,,,,
5,"“Beware the Jabberwock, my son",,30,700,,,,,,
6,"The jaws that bite, the claws that catch!",,30,700,,,,,,
7,"Beware the Jubjub bird, and shun",,30,700,,,,,,
8,"The frumious Bandersnatch!”",,30,700,,,,,,
9,"He took his vorpal sword in hand;",,30,700,,,,,,
10,"Long time the manxome foe he sought—",,30,700,,,,,,
11,"So rested he by the Tumtum tree,",,30,700,,,,,,
12,"And stood awhile in thought.",,30,700,,,,,,
13,"And, as in uffish thought he stood,",,30,700,,,,,,
14,"The Jabberwock, with eyes of flame,",,30,700,,,,,,
15,"Came whiffling through the tulgey wood,",,30,700,,,,,,
16,"And burbled as it came!",,30,700,,,,,,
17,"One, two! One, two! And through and through",,30,700,,,,,,
18,"The vorpal blade went snicker-snack!",,30,700,,,,,,
19,"He left it dead, and with its head",,30,700,,,,,,
20,"He went galumphing back.",,30,700,,,,,,
21,"“And hast thou slain the Jabberwock?",,30,700,,,,,,
22,"Come to my arms, my beamish boy!",,30,700,,,,,,
23,"O frabjous day! Callooh! Callay!”",,30,700,,,,,,
24,"He chortled in his joy.",,30,700,,,,,,
25,"’Twas brillig, and the slithy toves",,30,700,,,,,,
26,"Did gyre and gimble in the wabe;",,30,700,,,,,,
27,"All mimsy were the borogoves,",,30,700,,,,,,
28,"And the mome raths outgrabe.",,30,700,,,,,,
